"id","name","display_name","level","display_order","medium_of_instruction","parent_offering_id","root_offering_id"
434,"Economics","Economics",3,88,"1",413,107
435,"Computer Science","Computer Science",3,89,"1",411,107
436,"Computer Science","Computer Science",3,89,"1",413,107
439,"Chemistry","Chemistry",3,91,"1",411,107
440,"Chemistry","Chemistry",3,91,"1",413,107
441,"Biology","Biology",3,92,"1",411,107
442,"Biology","Biology",3,92,"1",413,107
443,"Sanskrit","Sanskrit",3,95,"1",154,107
444,"Sanskrit","Sanskrit",3,95,"1",156,107
445,"Sanskrit","Sanskrit",3,95,"1",158,107
446,"History & Civics","History & Civics",3,96,"1",154,107
496,"Sanskrit","Sanskrit",3,543,"1",379,107
447,"History & Civics","History & Civics",3,96,"1",156,107
448,"History & Civics","History & Civics",3,96,"1",158,107
449,"Physics","Physics",3,97,"1",154,107
450,"Physics","Physics",3,97,"1",156,107
451,"Physics","Physics",3,97,"1",158,107
452,"Mathematics","Mathematics",3,98,"1",154,107
453,"Mathematics","Mathematics",3,98,"1",156,107
454,"Mathematics","Mathematics",3,98,"1",158,107
455,"Hindi","Hindi",3,99,"1",154,107
456,"Hindi","Hindi",3,99,"1",156,107
457,"Hindi","Hindi",3,99,"1",158,107
458,"Geography","Geography",3,100,"1",154,107
459,"Geography","Geography",3,100,"1",156,107
460,"Geography","Geography",3,100,"1",158,107
461,"English","English",3,101,"1",154,107
462,"English","English",3,101,"1",156,107
463,"English","English",3,101,"1",158,107
467,"Ib","IB",1,3,"1",107,107
468,"Myp Ap","Myp Ap",2,25,"1",467,107
469,"Economics_ap_micro Economics","Economics_ap_micro Economics",3,444,"1",468,107
470,"Myp Ix","Myp Ix",2,88,"1",467,107
471,"Economics_ap_micro Economics","Economics_ap_micro Economics",3,444,"1",470,107
472,"Myp X","Myp X",2,89,"1",467,107
473,"Economics_ap_micro Economics","Economics_ap_micro Economics",3,444,"1",472,107
475,"Ap_micro Economics","Ap_micro Economics",3,501,"1",474,29
476,"Ap_macro Economics","Ap_macro Economics",3,502,"1",474,29
478,"Constitution Of India","Constitution Of India",3,550,"1",477,6
427,"History","History",3,84,"1",411,107
437,"Civics","Civics",3,90,"1",411,107
428,"History","History",3,84,"1",413,107
438,"Civics","Civics",3,90,"1",413,107
477,"Judiciary Services","Judiciary Services",2,26,"1",225,6
474,"Ap","AP",1,7,"1",29,29
479,"Code Of Criminal Procedure","Code Of Criminal Procedure",3,551,"1",477,6
480,"Code Of Civil Procedure","Code Of Civil Procedure",3,552,"1",477,6
481,"Indian Penal Code","Indian Penal Code",3,553,"1",477,6
482,"Indian Evidence Act","Indian Evidence Act",3,554,"1",477,6
483,"Indian Contract Act","Indian Contract Act",3,555,"1",477,6
484,"Transfer Of Property Act","Transfer Of Property Act",3,556,"1",477,6
485,"Muslim Law","Muslim Law",3,557,"1",477,6
486,"Hindu Laws","Hindu Laws",3,558,"1",477,6
487,"Indian Partnership Act","Indian Partnership Act",3,559,"1",477,6
488,"Specific Relief Act","Specific Relief Act",3,560,"1",477,6
489,"Limitation Act","Limitation Act",3,561,"1",477,6
490,"Indian Arbitration Act","Indian Arbitration Act",3,562,"1",477,6
491,"Sale Of Goods Act","Sale Of Goods Act",3,563,"1",477,6
492,"Law Of Torts","Law Of Torts",3,564,"1",477,6
493,"English","English",3,566,"1",477,6
494,"General Knowledge","General Knowledge",3,567,"1",477,6
495,"Sanskrit","Sanskrit",3,543,"1",377,107
520,"Ks 4_ Cambridge Ice","Ks 4_ Cambridge Ice",2,72,"1",515,107
498,"Biology","Biology",3,601,"1",497,107
522,"Year 6","Year 6",2,66,"1",515,107
524,"Year 7","Year 7",2,68,"1",515,107
526,"Year 8","Year 8",2,69,"1",515,107
503,"Physics 1 Algebra","Physics 1 Algebra",3,602,"1",497,107
504,"Physics 2 Algebra","Physics 2 Algebra",3,603,"1",497,107
506,"Physics C Electricity And Magnetism Practice","Physics C Electricity And Magnetism Practice",3,605,"1",497,107
507,"Calculus Ab","Calculus Ab",3,606,"1",497,107
508,"Calculus Bc","Calculus Bc",3,607,"1",497,107
509,"Chemistry","Chemistry",3,608,"1",497,107
511,"Macro Economics","Macro Economics",3,610,"1",497,107
512,"Micro Economics","Micro Economics",3,611,"1",497,107
513,"Psychology","Psychology",3,612,"1",497,107
514,"Statistics","Statistics",3,613,"1",497,107
515,"Igcse","IGCSE",1,5,"1",107,107
516,"Year 9","Year 9",2,70,"1",515,107
517,"Economics","Economics",3,614,"1",516,107
