"id","name","display_name","level","display_order","medium_of_instruction","parent_offering_id","root_offering_id"
169,"Class 4","Class 4",2,16,"1",153,107
170,"General Science","General Science",3,107,"1",169,107
171,"Class 5","Class 5",2,17,"1",153,107
172,"General Science","General Science",3,107,"1",171,107
173,"Social Studies","Social Studies",3,108,"1",163,107
174,"Social Studies","Social Studies",3,108,"1",165,107
175,"Social Studies","Social Studies",3,108,"1",167,107
176,"Social Studies","Social Studies",3,108,"1",169,107
177,"Social Studies","Social Studies",3,108,"1",171,107
178,"Hindi","Hindi",3,109,"1",163,107
179,"Hindi","Hindi",3,109,"1",165,107
180,"Hindi","Hindi",3,109,"1",167,107
181,"Hindi","Hindi",3,109,"1",169,107
182,"Hindi","Hindi",3,109,"1",171,107
183,"Mathematics","Mathematics",3,110,"1",163,107
184,"Mathematics","Mathematics",3,110,"1",165,107
185,"Mathematics","Mathematics",3,110,"1",167,107
186,"Mathematics","Mathematics",3,110,"1",169,107
187,"Mathematics","Mathematics",3,110,"1",171,107
188,"English","English",3,111,"1",163,107
189,"English","English",3,111,"1",165,107
190,"English","English",3,111,"1",167,107
191,"English","English",3,111,"1",169,107
192,"English","English",3,111,"1",171,107
193,"Class 6","Class 6",2,6,"1",108,107
194,"History","History",3,112,"1",193,107
195,"Class 7","Class 7",2,7,"1",108,107
196,"History","History",3,112,"1",195,107
197,"Class 8","Class 8",2,8,"1",108,107
198,"History","History",3,112,"1",197,107
199,"Punjabi","Punjabi",1,13,"1",1,1
200,"Beginner","Beginner",2,1,"1",199,1
227,"Clat   Elementary Mathematics","Elementary Mathematics",3,242,"1",226,6
228,"Clat   English Comprehension","English Comprehension",3,243,"1",226,6
203,"Intermediate","Intermediate",2,5,"1",199,1
204,"Advanced","Advanced",2,8,"1",199,1
229,"Clat   Legal Reasoning","Legal Reasoning",3,244,"1",226,6
230,"Clat   Logical Reasoning","Logical Reasoning",3,245,"1",226,6
231,"Clat Gk   Current Affairs","Current Affairs",3,246,"1",226,6
233,"Ailet   Reasoning","Reasoning",3,247,"1",232,6
631,"Kindergarten English","English",3,1,"1",630,107
211,"Medical Entrance","Medical Entrance",1,3,"1",6,6
220,"Engineering Entrance","Engineering Entrance",1,4,"1",6,6
225,"Law Entrance","Law Entrance",1,5,"1",6,6
210,"Acet   Statistics","Statistics",3,232,"1",24,6
212,"Neet   Aipmt","NEET",2,5,"1",211,6
216,"Aiims","AIIMS",2,6,"1",211,6
213,"Neet (aipmt)   Biology","Biology",3,233,"1",212,6
214,"Neet (aipmt)   Chemistry","Chemistry",3,234,"1",212,6
215,"Neet (aipmt)   Physics","Physics",3,235,"1",212,6
217,"Aiims   Biology","Biology",3,236,"1",216,6
218,"Aiims   Chemistry","Chemistry",3,237,"1",216,6
219,"Aiims   Physics","Physics",3,238,"1",216,6
222,"Jee   Chemistry","Chemistry",3,239,"1",221,6
223,"Jee   Mathematics","Mathematics",3,240,"1",221,6
224,"Jee   Physics","Physics",3,241,"1",221,6
221,"Jee Main & Advanced","JEE Main & Advanced",2,7,"1",220,6
226,"Clat","CLAT",2,8,"1",225,6
232,"Ailet","AILET",2,9,"1",225,6
201,"Gre","GRE",1,4,"1",29,29
206,"Gmat","GMAT",1,5,"1",29,29
202,"Gre  Physics","Physics",3,500,"1",201,29
207,"Gmat   Integrated Reasoning","Integrated Reasoning",3,200,"1",206,29
208,"Gmat   Quantitative","Quantitative",3,201,"1",206,29
205,"C2   C2","C2",2,65,"1",38,1
238,"Upsc   Government Exams","Upsc   Government Exams",1,6,"1",6,6
239,"Preliminary Examination","Preliminary Examination",2,15,"1",238,6
240,"General Studies Paper   I","General Studies Paper   I",3,252,"1",239,6
241,"General Studies Paper   Ii","General Studies Paper   Ii",3,253,"1",239,6
242,"Ibps   Institute Of Banking Personnel Selection","Ibps   Institute Of Banking Personnel Selection",1,7,"1",6,6
243,"Ibps Po Prelims","Ibps Po Prelims",2,16,"1",242,6
244,"Ibps Po Prelims English Language","Ibps Po Prelims English Language",3,254,"1",243,6
245,"Ibps Po Prelims Quantitative Aptitude","Ibps Po Prelims Quantitative Aptitude",3,255,"1",243,6
246,"Ibps Po Prelims Reasoning","Ibps Po Prelims Reasoning",3,256,"1",243,6
247,"Ibps Po Main Exam","Ibps Po Main Exam",2,17,"1",242,6
248,"Ibps Po Main Reasoning & Comp Sci","Ibps Po Main Reasoning & Comp Sci",3,257,"1",247,6
249,"Ibps Po Main English Language","Ibps Po Main English Language",3,258,"1",247,6
250,"Ibps Po Main General Economy","Ibps Po Main General Economy",3,259,"1",247,6
251,"Ibps Po Main Banking Awareness","Ibps Po Main Banking Awareness",3,260,"1",247,6
252,"Ibps Clerk Exam   Preliminary","Ibps Clerk Exam   Preliminary",2,18,"1",242,6
253,"Ibps Clerk Exam Preliminary   English Language","Ibps Clerk Exam Preliminary   English Language",3,261,"1",252,6
254,"Ibps Clerk Exam Preliminary   Numerical Ability","Ibps Clerk Exam Preliminary   Numerical Ability",3,262,"1",252,6
255,"Ibps Clerk Exam Preliminary   Reasoning Ability","Ibps Clerk Exam Preliminary   Reasoning Ability",3,263,"1",252,6
256,"Ibps Clerk Exam   Main","Ibps Clerk Exam   Main",2,19,"1",242,6
257,"Ibps Clerk Exam Main   Reasoning Ability & Comp Aptitude","Ibps Clerk Exam Main   Reasoning Ability & Comp Aptitude",3,264,"1",256,6
258,"Ibps Clerk Exam Main   English Language","Ibps Clerk Exam Main   English Language",3,265,"1",256,6
259,"Ibps Clerk Exam Main   Quantitative Aptitude","Ibps Clerk Exam Main   Quantitative Aptitude",3,266,"1",256,6
260,"Ibps Clerk Exam Main   General / Financial Awareness","Ibps Clerk Exam Main   General / Financial Awareness",3,267,"1",256,6
261,"Ibps So Prelims   All Posts","Ibps So Prelims   All Posts",2,20,"1",242,6
262,"Ibps So Prelims English Language","Ibps So Prelims English Language",3,268,"1",261,6
263,"Ibps So Prelims Reasoning","Ibps So Prelims Reasoning",3,269,"1",261,6
264,"Ibps So Main   Other Posts","Ibps So Main   Other Posts",2,21,"1",242,6
265,"Ibps So Main Other Post Knowledge   Objective","Ibps So Main Other Post Knowledge   Objective",3,270,"1",264,6
266,"Ibps So Main   Rajbhasha Adhikari Post","Ibps So Main   Rajbhasha Adhikari Post",2,22,"1",242,6
267,"Ibps So Main Rajbhasha Adhikari Professional Knowledge   Objective","Ibps So Main Rajbhasha Adhikari Professional Knowledge   Objective",3,271,"1",266,6
268,"Ibps So Main Rajbhasha Adhikari Professional Knowledge   Descriptive","Ibps So Main Rajbhasha Adhikari Professional Knowledge   Descriptive",3,272,"1",266,6
269,"Ibps So Prelims   Rajbhasha Adhikari & Law Officer","Ibps So Prelims   Rajbhasha Adhikari & Law Officer",2,23,"1",242,6
369,"Evs","EVS",3,57,"1",356,107
237,"Ailet   Mathematics","Mathematics",3,251,"1",232,6
236,"Ailet   Legal Aptitude","Legal Aptitude",3,250,"1",232,6
270,"Ibps So Prelims General Awareness","Ibps So Prelims General Awareness",3,273,"1",269,6
271,"Ibps So Prelims   It/agriculture/hr/marketing Officer","Ibps So Prelims   It/agriculture/hr/marketing Officer",2,24,"1",242,6
272,"Ibps So Prelims Quantitative Aptitude","Ibps So Prelims Quantitative Aptitude",3,274,"1",271,6
297,"Business Studies","Business Studies",3,30,"1",109,107
298,"Business Studies","Business Studies",3,30,"1",111,107
299,"Class 9","Class 9",2,9,"1",108,107
300,"Russian","Russian",3,33,"1",299,107
301,"Class 10","Class 10",2,10,"1",108,107
302,"Russian","Russian",3,33,"1",301,107
303,"German","German",3,34,"1",299,107
304,"German","German",3,34,"1",301,107
305,"Sanskrit","Sanskrit",3,35,"1",299,107
306,"Sanskrit","Sanskrit",3,35,"1",301,107
307,"Economics","Economics",3,36,"1",299,107
308,"Economics","Economics",3,36,"1",301,107
309,"Spanish","Spanish",3,37,"1",299,107
310,"Spanish","Spanish",3,37,"1",301,107
311,"Physics","Physics",3,38,"1",299,107
312,"Physics","Physics",3,38,"1",301,107
313,"Mathematics","Mathematics",3,39,"1",299,107
314,"Mathematics","Mathematics",3,39,"1",301,107
315,"History","History",3,40,"1",299,107
276,"Sat   I","SAT I",1,2,"1",29,29
279,"Sat   Ii","SAT II",1,3,"1",29,29
